year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2019,4,1075,INAP,London 2,Interxion,Multi,Operational,,Retail,11 Hanbury St,United Kingdom,London,E1 6QR,51.5203975,-0.0737773,1000,390,100,39,180,1.8,28
2020,4,1075,INAP,London 2,Digital Realty,Multi,Operational,,Retail,11 Hanbury St,United Kingdom,London,E1 6QR,51.5203975,-0.0737773,1000,390,100,39,180,1.8,28
2018,4,1076,INAP,London 2,Equinix,Multi,Operational,,Retail,8-9 Harbour Exchange Square,United Kingdom,London,E14 9JY,51.4981657,-0.0152639,1000,390,150,59,270,1.8,28
2019,4,1076,INAP,London 1,Equinix,Multi,Operational,,Retail,8-9 Harbour Exchange Square,United Kingdom,London,E14 9JY,51.4981657,-0.0152639,1000,390,150,59,270,1.8,28
2020,4,1076,INAP,London 1,Equinix,Multi,Operational,,Retail,8-9 Harbour Exchange Square,United Kingdom,London,E14 9JY,51.4981657,-0.0152639,1000,390,150,59,270,1.8,28
2018,4,1128,Interxion,LON1,Interxion,Multi,Operational,,Wholesale,11 Hanbury St,United Kingdom,London,E1 6QR,51.5203975,-0.0737773,58125,52313,6200,5580,11780,1.9,1938
2019,4,1128,Interxion,LON1,Interxion,Multi,Operational,,Wholesale,11 Hanbury St,United Kingdom,London,E1 6QR,51.5203975,-0.0737773,58125,52313,6200,5580,11780,1.9,1938
2020,4,1128,Digital Realty,LON1,Digital Realty,Multi,Operational,,Wholesale,11 Hanbury St,United Kingdom,London,E1 6QR,51.5203975,-0.0737773,58125,52313,6200,5580,11780,1.9,1938
2018,4,1129,Interxion,LON2,Interxion,Multi,Operational,2011,Wholesale,"Hertsmere House, 2 Hertsmere Rd., Poplar",United Kingdom,London,E14 4AL,51.5070783,-0.0247371,16145,15015,4000,3720,6000,1.5,260
2019,4,1129,Interxion,LON2,Interxion,Multi,Operational,2011,Wholesale,"Hertsmere House, 2 Hertsmere Rd., Poplar",United Kingdom,London,E14 4AL,51.5070783,-0.0247371,16145,15015,4000,3720,6000,1.5,260
2020,4,1129,Digital Realty,LON2,Digital Realty,Multi,Operational,2011,Wholesale,"Hertsmere House, 2 Hertsmere Rd., Poplar",United Kingdom,London,E14 4AL,51.5070783,-0.0247371,16145,15015,4000,3720,6000,1.5,260
2018,4,1148,iomart,London,iomart,Multi,Operational,2000,Retail,"Standard House, 16-22 Epworth St.",United Kingdom,London,EC2A 4DN,51.5233237,-0.0853884,14720,11040,2400,1800,4320,1.8,409
2019,4,1148,iomart,London,iomart,Multi,Operational,2000,Retail,"Standard House, 16-22 Epworth St.",United Kingdom,London,EC2A 4DN,51.5233237,-0.0853884,14720,11040,2400,1800,4320,1.8,409
2020,4,1148,iomart,London,iomart,Multi,Operational,2000,Retail,"Standard House, 16-22 Epworth St.",United Kingdom,London,EC2A 4DN,51.5233237,-0.0853884,14720,11040,2400,1800,4320,1.8,409
2018,4,1149,iomart,Maidenhead,iomart,Multi,Operational,,Retail,"Spectrum House, Clivemont Road",United Kingdom,Maidenhead,SL6 7FW,51.5287886,-0.7254238,11920,8940,1943,1457,3497,1.8,331
2019,4,1149,iomart,Maidenhead,iomart,Multi,Operational,,Retail,"Spectrum House, Clivemont Road",United Kingdom,Maidenhead,SL6 7FW,51.5287886,-0.7254238,11920,8940,1943,1457,3497,1.8,331
2020,4,1149,iomart,Maidenhead,iomart,Multi,Operational,,Retail,"Spectrum House, Clivemont Road",United Kingdom,Maidenhead,SL6 7FW,51.5287886,-0.7254238,11920,8940,1943,1457,3497,1.8,331
2018,4,1189,KDDI Telehouse,Docklands East,KDDI Telehouse,Multi,Operational,1999,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5113934,-0.0018024,91482,86908,7487,7113,14224,1.9,2541
2019,4,1189,KDDI Telehouse,Docklands East,KDDI Telehouse,Multi,Operational,1999,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5113934,-0.0018024,91482,91482,7487,7487,14224,1.9,2541
2020,4,1189,KDDI Telehouse,Docklands East,KDDI Telehouse,Multi,Operational,1999,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5113934,-0.0018024,91482,91482,7487,7487,14224,1.9,2541
2018,4,1190,KDDI Telehouse,Docklands North,KDDI Telehouse,Multi,Operational,1990,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5114035,-0.0036667,104592,99362,14000,13300,26600,1.9,2905
2019,4,1190,KDDI Telehouse,Docklands North,KDDI Telehouse,Multi,Operational,1990,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5114035,-0.0036667,104592,104592,14000,14000,26600,1.9,2905
2020,4,1190,KDDI Telehouse,Docklands North,KDDI Telehouse,Multi,Operational,1990,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5114035,-0.0036667,104592,104592,14000,14000,26600,1.9,2905
2018,4,1191,KDDI Telehouse,Docklands West,KDDI Telehouse,Multi,Operational,1997,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5114035,-0.0036667,53815,43052,7090,5672,13471,1.9,1495
2019,4,1191,KDDI Telehouse,Docklands West,KDDI Telehouse,Multi,Operational,1997,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5114035,-0.0036667,53815,43052,7090,5672,13471,1.9,1495
2020,4,1191,KDDI Telehouse,Docklands West,KDDI Telehouse,Multi,Operational,1997,Retail,14 Coriander Ave,United Kingdom,London,E14 2AA,51.5114035,-0.0036667,53815,43052,7090,5672,13471,1.9,1495
2018,4,1203,KDDI Telehouse,Metro,KDDI Telehouse,Multi,Operational,2010,Retail,65 Clifton Street,United Kingdom,London,EC2A 4JE,51.522162,-0.083438,9042,7234,1913,1530,3635,1.9,251
2019,4,1203,KDDI Telehouse,Metro,KDDI Telehouse,Multi,Operational,2010,Retail,65 Clifton Street,United Kingdom,London,EC2A 4JE,51.522162,-0.083438,9042,7234,1913,1530,3635,1.9,251
2020,4,1203,KDDI Telehouse,Metro,KDDI Telehouse,Multi,Operational,2010,Retail,65 Clifton Street,United Kingdom,London,EC2A 4JE,51.522162,-0.083438,9042,7234,1913,1530,3635,1.9,251
2018,4,1217,Keppel DC REIT,GV7,Keppel DC REIT,Single,Operational,2011,Wholesale,7 Greenwich View Place,United Kingdom,London,E14 9NN,51.4947041,-0.0186993,24972,24972,6258,6258,11890,1.9,694
